Forest,Forest_tonnes_C,Crop_tonnes_C,Diff_tonnes_C
Tropical dry forest,"43,407,234","14,195,512","29,211,722"
Tropical moist deciduous forest,"20,433,315","5,387,601","15,045,714"
Tropical rainforest,"8,097,660","1,352,972","6,744,688"
Total,"71,938,209","20,936,085","51,002,124"
