Forest,Forest_tonnes_C,Crop_tonnes_C,Diff_tonnes_C
Subtropical humid forest,"278,355","45,973","232,382"
Tropical dry forest,"440,856","114,051","326,805"
Tropical moist deciduous forest,"35,486,850","8,260,083","27,226,767"
Tropical mountain system,"2,304,450","560,135","1,744,315"
Tropical rainforest,"24,360,660","2,797,136","21,563,524"
Tropical shrubland,"610,506","160,390","450,116"
Total,"63,481,677","11,937,768","51,543,909"
