Forest,Forest_tonnes_C,Crop_tonnes_C,Diff_tonnes_C
Tropical mountain system,"31,321,548","7,348,573","23,972,975"
Tropical rainforest,"1,129,991,850","158,614,681","971,377,169"
"Tropical rainforest, peatlands","155,970,675","23,187,350","132,783,325"
Total,"1,317,284,073","189,150,604","1,128,133,469"
