CropAgro,TradCrop_tonnes_C_Label,AgroCrop_tonnes_C_Label
Crop support,"105,219","49,640"
Herb,"1,606,871","2,856,580"
Palm,"395,117","260,748"
Shrub,"64,475","46,277"
Tree,"10,102,877","1,270,850"
Total,"12,274,559","4,484,095"
