CropAgro,TradCrop_tonnes_C_Label,AgroCrop_tonnes_C_Label,Total
Aqua,"94,330",0,"94,330"
Crop support,"353,251","5,609,520","5,962,771"
Herb,"5,494,556","41,159,754","46,654,310"
Palm,"47,842,240","52,908,146","100,750,386"
Shrub,"842,246","12,694,082","13,536,328"
Tree,"85,169,705","17,043,152","102,212,857"
Total,"139,796,328","129,414,654","269,210,982"
,,,
,,,
