"CropAgro","TradCrop_tonnes_C_Label","AgroCrop_tonnes_C_Label"
"Aqua","94,330","0"
"Crop support","50,680","4,948,660"
"Herb","1,182,151","27,105,900"
"Palm","44,525,753","50,578,440"
"Shrub","455,918","10,147,795"
"Tree","44,743,569","5,317,410"
