"CropAgro","TradCrop_tonnes_C_Label","AgroCrop_tonnes_C_Label"
"Crop support","46,267","0"
"Herb","1,491,162","697,120"
"Shrub","25,267","86,224"
"Tree","6,143,572","594,206"
