CropAgro,TradCrop_tonnes_C_Label,AgroCrop_tonnes_C_Label
Crop support,"48,960","174,280"
Herb,"37,541","1,642,340"
Shrub,"59,369","1,928,779"
Tree,"5,703,611","2,342,889"
Total,"5,849,481","6,088,288"
