Forest,Forest_tonnes_C,Crop_tonnes_C,Diff_tonnes_C
Tropical dry forest,"4,771,494","1,171,567","3,599,927"
Tropical moist deciduous forest,"27,744,045","4,444,127","23,299,918"
Tropical mountain system,"5,247,909","1,280,631","3,967,278"
Tropical rainforest,"19,180,800","2,187,492","16,993,308"
Total,"56,944,248","9,083,817","47,860,431"
