Forest,Forest_tonnes_C,Crop_tonnes_C,Diff_tonnes_C
Tropical dry forest,"257,790","66,100","191,690"
Tropical moist deciduous forest,"30,002,175","6,028,324","23,973,851"
Tropical mountain system,"15,704,442","3,845,588","11,858,854"
Tropical rainforest,"49,221,180","6,818,643","42,402,537"
Total,"95,185,587","16,758,655","78,426,932"
