"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical rainforest (135,340)","Coffee (21,714)",16679,5152,"Shrub"
"Tropical dry forest (5,651)","Coffee (21,714)",569,569,"Shrub"
"Tropical shrubland (7,827)","Coffee (21,714)",884,884,"Shrub"
"Tropical moist deciduous forest (337,970)","Coffee (21,714)",2728,1549,"Shrub"
"Tropical mountain system (28,450)","Coffee (21,714)",854,660,"Shrub"
"Coffee (21,714)","Coffee, agrisilviculture (18,001)",18001,4871,"Agrisil"
"Coffee (21,714)","Coffee, boundary tree (24)",24,24,"Bndry"
"Coffee (21,714)","Coffee, monoculture (3,688)",3688,2522,"Trad"
"Tropical rainforest (135,340)","Crop support (20,953)",7389,3055,"Crop_support"
"Tropical shrubland (7,827)","Crop support (20,953)",806,806,"Crop_support"
"Tropical mountain system (28,450)","Crop support (20,953)",2740,2376,"Crop_support"
"Tropical moist deciduous forest (337,970)","Crop support (20,953)",10018,4145,"Crop_support"
"Crop support (20,953)","Crop support, agrisilviculture (8,714)",8714,3349,"Agrisil"
"Crop support (20,953)","Crop support, monoculture (12,239)",12239,4639,"Trad"
"Tropical moist deciduous forest (337,970)","Fruit & nut (18,889)",16027,5285,"Tree"
"Tropical shrubland (7,827)","Fruit & nut (18,889)",237,237,"Tree"
"Tropical rainforest (135,340)","Fruit & nut (18,889)",2625,2014,"Tree"
"Fruit & nut (18,889)","Fruit & nut, agrisilviculture (15,062)",15062,5066,"Agrisil"
"Fruit & nut (18,889)","Fruit & nut, monoculture (3,827)",3827,2531,"Trad"
"Subtropical humid forest (2,651)","Herbaceous crops (91,430)",295,295,"Herb"
"Tropical dry forest (5,651)","Herbaceous crops (91,430)",3268,2362,"Herb"
"Tropical moist deciduous forest (337,970)","Herbaceous crops (91,430)",44268,8395,"Herb"
"Tropical shrubland (7,827)","Herbaceous crops (91,430)",2357,2357,"Herb"
"Tropical rainforest (135,340)","Herbaceous crops (91,430)",23632,5856,"Herb"
"Tropical mountain system (28,450)","Herbaceous crops (91,430)",17610,5735,"Herb"
"Herbaceous crops (91,430)","Herbaceous crops, agrisilviculture (80,694)",80694,11658,"Agrisil"
"Herbaceous crops (91,430)","Herbaceous crops, boundary tree (1,422)",1422,1120,"Bndry"
"Herbaceous crops (91,430)","Herbaceous crops, monoculture (9,313)",9313,2697,"Trad"
"Tropical mountain system (28,450)","Pulpwood (150,400)",4634,2853,"Tree"
"Tropical rainforest (135,340)","Pulpwood (150,400)",69008,11236,"Tree"
"Tropical dry forest (5,651)","Pulpwood (150,400)",1139,1139,"Tree"
"Tropical moist deciduous forest (337,970)","Pulpwood (150,400)",72406,11993,"Tree"
"Tropical shrubland (7,827)","Pulpwood (150,400)",3211,2507,"Tree"
"Pulpwood (150,400)","Pulpwood, agrisilviculture (1,070)",1070,836,"Agrisil"
"Pulpwood (150,400)","Pulpwood, monoculture (149,330)",149326,16444,"Trad"
"Tropical rainforest (135,340)","Rice (285)",285,285,"Herb"
"Rice (285)","Rice, monoculture (285)",285,285,"Trad"
"Tropical dry forest (5,651)","Rubber (64,849)",380,380,"Tree"
"Tropical moist deciduous forest (337,970)","Rubber (64,849)",58671,10005,"Tree"
"Tropical rainforest (135,340)","Rubber (64,849)",5798,2992,"Tree"
"Rubber (64,849)","Rubber, agrisilviculture (2,502)",2502,1780,"Agrisil"
"Rubber (64,849)","Rubber, boundary tree (996)",996,996,"Bndry"
"Rubber (64,849)","Rubber, monoculture (61,349)",61349,10228,"Trad"
"Subtropical humid forest (2,651)","Shrub crops (15,847)",196,196,"Shrub"
"Tropical shrubland (7,827)","Shrub crops (15,847)",332,332,"Shrub"
"Tropical rainforest (135,340)","Shrub crops (15,847)",4857,2625,"Shrub"
"Tropical moist deciduous forest (337,970)","Shrub crops (15,847)",8619,5767,"Shrub"
"Tropical mountain system (28,450)","Shrub crops (15,847)",1843,1353,"Shrub"
"Shrub crops (15,847)","Shrub crop, agrisilviculture (14,034)",14034,6373,"Agrisil"
"Shrub crops (15,847)","Shrub crop, monoculture (1,813)",1813,1206,"Trad"
"Tropical dry forest (5,651)","Tea (69,606)",295,295,"Shrub"
"Subtropical humid forest (2,651)","Tea (69,606)",1473,1473,"Shrub"
"Tropical moist deciduous forest (337,970)","Tea (69,606)",67838,67838,"Shrub"
"Tea (69,606)","Tea, agrisilviculture (67,838)",67838,67838,"Agrisil"
"Tea (69,606)","Tea, boundary tree (295)",295,295,"Bndry"
"Tea (69,606)","Tea, monoculture (1,473)",1473,1473,"Trad"
"Tropical rainforest (135,340)","Tree crops (63,916)",5063,2320,"Tree"
"Tropical moist deciduous forest (337,970)","Tree crops (63,916)",57397,52255,"Tree"
"Subtropical humid forest (2,651)","Tree crops (63,916)",687,687,"Tree"
"Tropical mountain system (28,450)","Tree crops (63,916)",769,558,"Tree"
"Tree crops (63,916)","Tree crops, agrisilviculture (57,284)",57284,52222,"Agrisil"
"Tree crops (63,916)","Tree crops, boundary tree (142)",142,142,"Bndry"
"Tree crops (63,916)","Tree crops, monoculture (6,490)",6490,3086,"Trad"
