"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical rainforest (428,050)","Coconut (807)",807,807,"Palm"
"Coconut (807)","Coconut, agrisilviculture (807)",807,807,"Agrisil"
"Tropical rainforest (428,050)","Coffee (1,020)",1020,1020,"Shrub"
"Coffee (1,020)","Coffee, monoculture (1,020)",1020,1020,"Trad"
"Tropical dry forest (127,460)","Crop support (12,567)",8317,8317,"Crop_support"
"Tropical moist deciduous forest (81,584)","Crop support (12,567)",204,204,"Crop_support"
"Tropical rainforest (428,050)","Crop support (12,567)",4046,2294,"Crop_support"
"Crop support (12,567)","Crop support, agrisilviculture (714)",714,620,"Agrisil"
"Crop support (12,567)","Crop support, monoculture (11,853)",11853,8608,"Trad"
"Tropical moist deciduous forest (81,584)","Fruit & nut (11,172)",5978,3542,"Tree"
"Tropical rainforest (428,050)","Fruit & nut (11,172)",5194,2751,"Tree"
"Fruit & nut (11,172)","Fruit & nut, agrisilviculture (6,427)",6427,3779,"Agrisil"
"Fruit & nut (11,172)","Fruit & nut, monoculture (4,745)",4745,2413,"Trad"
"Tropical dry forest (127,460)","Herbaceous crops (146,150)",30667,7584,"Herb"
"Tropical mountain system (13,006)","Herbaceous crops (146,150)",5595,3139,"Herb"
"Tropical moist deciduous forest (81,584)","Herbaceous crops (146,150)",58458,10479,"Herb"
"Tropical rainforest (428,050)","Herbaceous crops (146,150)",51434,9673,"Herb"
"Herbaceous crops (146,150)","Herbaceous crops, agrisilviculture (81,836)",81836,12415,"Agrisil"
"Herbaceous crops (146,150)","Herbaceous crops, monoculture (64,319)",64319,10391,"Trad"
"Oil palm (93,724)","Oil palm, agrisilviculture (29,770)",29770,7576,"Agrisil"
"Oil palm (93,724)","Oil palm, monoculture (63,955)",63955,11300,"Trad"
"Tropical rainforest (428,050)","Oil palm (93,724)",91654,13274,"Palm"
"Tropical dry forest (127,460)","Oil palm (93,724)",1734,1734,"Palm"
"Tropical moist deciduous forest (81,584)","Oil palm (93,724)",336,336,"Palm"
"Tropical rainforest (428,050)","Pulpwood (170,790)",152287,16975,"Tree"
"Tropical mountain system (13,006)","Pulpwood (170,790)",4896,3459,"Tree"
"Tropical moist deciduous forest (81,584)","Pulpwood (170,790)",6811,3171,"Tree"
"Tropical dry forest (127,460)","Pulpwood (170,790)",6800,3913,"Tree"
"Pulpwood (170,790)","Pulpwood, monoculture (170,800)",170795,17796,"Trad"
"Tropical rainforest (428,050)","Rubber (155,130)",77977,12679,"Tree"
"Tropical mountain system (13,006)","Rubber (155,130)",67,67,"Tree"
"Tropical moist deciduous forest (81,584)","Rubber (155,130)",3247,1906,"Tree"
"Tropical dry forest (127,460)","Rubber (155,130)",73839,50341,"Tree"
"Rubber (155,130)","Rubber, monoculture (155,130)",155130,51886,"Trad"
"Tropical rainforest (428,050)","Shrub crops (3,610)",2374,1548,"Shrub"
"Tropical moist deciduous forest (81,584)","Shrub crops (3,610)",930,600,"Shrub"
"Tropical dry forest (127,460)","Shrub crops (3,610)",306,306,"Shrub"
"Shrub crops (3,610)","Shrub crop, agrisilviculture (879)",879,571,"Agrisil"
"Shrub crops (3,610)","Shrub crop, monoculture (2,731)",2731,1588,"Trad"
"Tropical dry forest (127,460)","Tree crops (55,125)",5799,2754,"Tree"
"Tropical mountain system (13,006)","Tree crops (55,125)",2448,2448,"Tree"
"Tropical moist deciduous forest (81,584)","Tree crops (55,125)",5620,2902,"Tree"
"Tropical rainforest (428,050)","Tree crops (55,125)",41258,8806,"Tree"
"Tree crops (55,125)","Tree crops, agrisilviculture (2,941)",2941,1007,"Agrisil"
"Tree crops (55,125)","Tree crops, boundary tree (204)",204,204,"Bndry"
"Tree crops (55,125)","Tree crops, monoculture (51,981)",51981,9836,"Trad"
