"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical rainforest (6,164,900)","Aquaculture (18,866)",18866,17472,"Herb"
"Aquaculture (18,866)","Aquaculture, monoculture (18,866)",18866,17472,"Trad"
"Tropical dry forest (754,090)","Banana (1,896)",295,295,"Palm"
"Tropical rainforest (6,164,900)","Banana (1,896)",1601,1291,"Palm"
"Banana (1,896)","Banana, agrisilviculture (1,535)",1535,1274,"Agrisil"
"Banana (1,896)","Banana, monoculture (362)",362,362,"Trad"
"Tropical rainforest (6,164,900)","Coconut (47,697)",33910,8054,"Palm"
"Tropical rainforest, peatlands (693,200)","Coconut (47,697)",13787,13787,"Palm"
"Coconut (47,697)","Coconut, agrisilviculture (18,897)",18897,6906,"Agrisil"
"Coconut (47,697)","Coconut, monoculture (28,800)",28800,14407,"Trad"
"Tropical shrubland (7,827)","Coffee (74,985)",884,884,"Shrub"
"Tropical moist deciduous forest (1,172,700)","Coffee (74,985)",7049,3051,"Shrub"
"Tropical dry forest (754,090)","Coffee (74,985)",12433,5403,"Shrub"
"Tropical rainforest (6,164,900)","Coffee (74,985)",53039,16734,"Shrub"
"Tropical mountain system (558,820)","Coffee (74,985)",1580,981,"Shrub"
"Coffee (74,985)","Coffee, agrisilviculture (66,946)",66946,17402,"Agrisil"
"Coffee (74,985)","Coffee, boundary tree (24)",24,24,"Bndry"
"Coffee (74,985)","Coffee, monoculture (8,014)",8014,3613,"Trad"
"Tropical moist deciduous forest (1,172,700)","Crop support (340,130)",17862,4815,"Crop_support"
"Tropical dry forest (754,090)","Crop support (340,130)",25142,10179,"Crop_support"
"Tropical mountain system (558,820)","Crop support (340,130)",27360,14550,"Crop_support"
"Tropical rainforest (6,164,900)","Crop support (340,130)",250934,53986,"Crop_support"
"Tropical shrubland (7,827)","Crop support (340,130)",806,806,"Crop_support"
"Tropical rainforest, peatlands (693,200)","Crop support (340,130)",18028,17321,"Crop_support"
"Crop support (340,130)","Crop support, agrisilviculture (198,150)",198154,47072,"Agrisil"
"Crop support (340,130)","Crop support, boundary tree (82,322)",82322,34285,"Bndry"
"Crop support (340,130)","Crop support, monoculture (59,656)",59656,13299,"Trad"
"Tropical moist deciduous forest (1,172,700)","Fruit & nut (143,650)",36047,8378,"Tree"
"Tropical shrubland (7,827)","Fruit & nut (143,650)",237,237,"Tree"
"Tropical dry forest (754,090)","Fruit & nut (143,650)",22650,6483,"Tree"
"Tropical mountain system (558,820)","Fruit & nut (143,650)",4354,4354,"Tree"
"Tropical rainforest (6,164,900)","Fruit & nut (143,650)",80364,27916,"Tree"
"Fruit & nut (143,650)","Fruit & nut, agrisilviculture (102,190)",102190,22445,"Agrisil"
"Fruit & nut (143,650)","Fruit & nut, boundary tree (7,932)",7932,7932,"Bndry"
"Fruit & nut (143,650)","Fruit & nut, monoculture (33,530)",33530,18540,"Trad"
"Subtropical humid forest (2,651)","Herbaceous crops (2,962,700)",295,295,"Herb"
"Tropical rainforest, peatlands (693,200)","Herbaceous crops (2,962,700)",145638,45462,"Herb"
"Tropical mountain system (558,820)","Herbaceous crops (2,962,700)",275365,46675,"Herb"
"Tropical shrubland (7,827)","Herbaceous crops (2,962,700)",2357,2357,"Herb"
"Tropical moist deciduous forest (1,172,700)","Herbaceous crops (2,962,700)",510669,90940,"Herb"
"Tropical dry forest (754,090)","Herbaceous crops (2,962,700)",396030,50874,"Herb"
"Tropical rainforest (6,164,900)","Herbaceous crops (2,962,700)",1632352,132683,"Herb"
"Herbaceous crops (2,962,700)","Herbaceous crops, agrisilviculture (2,006,800)",2006823,135579,"Agrisil"
