"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical rainforest (154,300)","Banana (1,601)",1601,1291,"Palm"
"Banana (1,601)","Banana, agrisilviculture (1,240)",1240,1240,"Agrisil"
"Banana (1,601)","Banana, monoculture (362)",362,362,"Trad"
"Tropical rainforest (154,300)","Coconut (24,050)",24050,4226,"Palm"
"Coconut (24,050)","Coconut, agrisilviculture (11,922)",11922,2999,"Agrisil"
"Coconut (24,050)","Coconut, monoculture (12,129)",12129,3025,"Trad"
"Tropical moist deciduous forest (8,562)","Coffee (1,122)",192,136,"Shrub"
"Tropical rainforest (154,300)","Coffee (1,122)",930,930,"Shrub"
"Coffee (1,122)","Coffee, monoculture (1,122)",1122,940,"Trad"
"Tropical rainforest (154,300)","Crop support (3,203)",3203,1253,"Crop_support"
"Crop support (3,203)","Crop support, agrisilviculture (1,919)",1919,954,"Agrisil"
"Crop support (3,203)","Crop support, boundary tree (568)",568,568,"Bndry"
"Crop support (3,203)","Crop support, monoculture (716)",716,587,"Trad"
"Tropical moist deciduous forest (8,562)","Fruit & nut (2,834)",103,103,"Tree"
"Tropical rainforest (154,300)","Fruit & nut (2,834)",2731,1761,"Tree"
"Fruit & nut (2,834)","Fruit & nut, agrisilviculture (2,731)",2731,1761,"Agrisil"
"Fruit & nut (2,834)","Fruit & nut, monoculture (103)",103,103,"Trad"
"Tropical moist deciduous forest (8,562)","Herbaceous crops (79,790)",4518,2043,"Herb"
"Tropical rainforest (154,300)","Herbaceous crops (79,790)",74503,7919,"Herb"
"Tropical mountain system (1,957)","Herbaceous crops (79,790)",769,712,"Herb"
"Herbaceous crops (79,790)","Herbaceous crops, agrisilviculture (42,699)",42699,6041,"Agrisil"
"Herbaceous crops (79,790)","Herbaceous crops, boundary tree (1,860)",1860,1187,"Bndry"
"Herbaceous crops (79,790)","Herbaceous crops, monoculture (35,230)",35230,5476,"Trad"
"Oil palm (9,396)","Oil palm, agrisilviculture (6,096)",6096,2718,"Agrisil"
"Oil palm (9,396)","Oil palm, monoculture (3,300)",3300,1627,"Trad"
"Tropical rainforest (154,300)","Oil palm (9,396)",9396,3160,"Palm"
"Tropical rainforest (154,300)","Palm crops (642)",642,498,"Palm"
"Palm crops (642)","Palm crop, agrisilviculture (465)",465,465,"Agrisil"
"Palm crops (642)","Palm crop, monoculture (177)",177,177,"Trad"
"Tropical rainforest (154,300)","Pulpwood (6,894)",4828,2275,"Tree"
"Tropical moist deciduous forest (8,562)","Pulpwood (6,894)",2066,1489,"Tree"
"Pulpwood (6,894)","Pulpwood, monoculture (6,894)",6894,2713,"Trad"
"Tropical rainforest (154,300)","Rice (605)",443,443,"Herb"
"Tropical moist deciduous forest (8,562)","Rice (605)",162,119,"Herb"
"Rice (605)","Rice, monoculture (606)",606,459,"Trad"
"Tropical rainforest (154,300)","Rubber (2,082)",1772,1349,"Tree"
"Tropical moist deciduous forest (8,562)","Rubber (2,082)",310,310,"Tree"
"Rubber (2,082)","Rubber, monoculture (2,082)",2082,1384,"Trad"
"Tropical rainforest (154,300)","Shrub crops (3,395)",3395,1276,"Shrub"
"Shrub crops (3,395)","Shrub crop, agrisilviculture (2,996)",2996,1247,"Agrisil"
"Shrub crops (3,395)","Shrub crop, boundary tree (207)",207,207,"Bndry"
"Shrub crops (3,395)","Shrub crop, monoculture (192)",192,178,"Trad"
"Tropical mountain system (1,957)","Tea (1,188)",1188,1188,"Shrub"
"Tea (1,188)","Tea, monoculture (1,188)",1188,1188,"Trad"
"Tropical rainforest (154,300)","Tree crops (28,013)",26802,4615,"Tree"
"Tropical moist deciduous forest (8,562)","Tree crops (28,013)",1211,971,"Tree"
"Tree crops (28,013)","Tree crops, agrisilviculture (10,673)",10673,2935,"Agrisil"
"Tree crops (28,013)","Tree crops, boundary tree (1,240)",1240,726,"Bndry"
"Tree crops (28,013)","Tree crops, monoculture (16,099)",16099,3688,"Trad"
