"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical rainforest (273,450)","Coffee (847)",847,847,"Shrub"
"Coffee (847)","Coffee, agrisilviculture (847)",847,847,"Agrisil"
"Tropical rainforest (273,450)","Crop support (17,910)",10746,5219,"Crop_support"
"Tropical moist deciduous forest (285,740)","Crop support (17,910)",1243,715,"Crop_support"
"Tropical mountain system (193,880)","Crop support (17,910)",5921,3989,"Crop_support"
"Crop support (17,910)","Crop support, agrisilviculture (2,341)",2341,1971,"Agrisil"
"Crop support (17,910)","Crop support, boundary tree (141)",141,141,"Bndry"
"Crop support (17,910)","Crop support, monoculture (15,427)",15427,6292,"Trad"
"Tropical rainforest (273,450)","Fruit & nut (4,626)",4626,3606,"Tree"
"Fruit & nut (4,626)","Fruit & nut, agrisilviculture (4,626)",4626,3606,"Agrisil"
"Tropical dry forest (3,305)","Herbaceous crops (376,980)",3305,3305,"Herb"
"Tropical rainforest (273,450)","Herbaceous crops (376,980)",98338,16396,"Herb"
"Tropical mountain system (193,880)","Herbaceous crops (376,980)",106916,17356,"Herb"
"Tropical moist deciduous forest (285,740)","Herbaceous crops (376,980)",168418,21590,"Herb"
"Herbaceous crops (376,980)","Herbaceous crops, agrisilviculture (140,150)",140148,19431,"Agrisil"
"Herbaceous crops (376,980)","Herbaceous crops, boundary tree (2,681)",2681,2681,"Bndry"
"Herbaceous crops (376,980)","Herbaceous crops, monoculture (234,150)",234149,24471,"Trad"
"Oil palm (16,829)","Oil palm, agrisilviculture (6,691)",6691,4732,"Agrisil"
"Oil palm (16,829)","Oil palm, monoculture (10,139)",10139,5454,"Trad"
"Tropical rainforest (273,450)","Oil palm (16,829)",16829,7194,"Palm"
"Tropical rainforest (273,450)","Pulpwood (108,090)",48428,11929,"Tree"
"Tropical moist deciduous forest (285,740)","Pulpwood (108,090)",26947,9274,"Tree"
"Tropical mountain system (193,880)","Pulpwood (108,090)",32714,9898,"Tree"
"Pulpwood (108,090)","Pulpwood, agrisilviculture (2,258)",2258,2258,"Agrisil"
"Pulpwood (108,090)","Pulpwood, monoculture (105,830)",105832,17665,"Trad"
"Tropical moist deciduous forest (285,740)","Rice (9,500)",3855,2660,"Herb"
"Tropical rainforest (273,450)","Rice (9,500)",5645,3804,"Herb"
"Rice (9,500)","Rice, monoculture (9,501)",9501,4795,"Trad"
"Tropical moist deciduous forest (285,740)","Rubber (56,534)",19716,7405,"Tree"
"Tropical mountain system (193,880)","Rubber (56,534)",6609,4669,"Tree"
"Tropical rainforest (273,450)","Rubber (56,534)",30209,9239,"Tree"
"Rubber (56,534)","Rubber, monoculture (56,533)",56533,12632,"Trad"
"Tropical rainforest (273,450)","Shrub crops (3,497)",3084,1799,"Shrub"
"Tropical moist deciduous forest (285,740)","Shrub crops (3,497)",413,308,"Shrub"
"Shrub crops (3,497)","Shrub crop, agrisilviculture (2,241)",2241,1629,"Agrisil"
"Shrub crops (3,497)","Shrub crop, monoculture (1,256)",1256,829,"Trad"
"Tropical mountain system (193,880)","Tea (3,305)",3305,3305,"Shrub"
"Tea (3,305)","Tea, monoculture (3,305)",3305,3305,"Trad"
"Tropical moist deciduous forest (285,740)","Tree crops (158,260)",65143,13035,"Tree"
"Tropical mountain system (193,880)","Tree crops (158,260)",38416,9746,"Tree"
"Tropical rainforest (273,450)","Tree crops (158,260)",54698,12311,"Tree"
"Tree crops (158,260)","Tree crops, agrisilviculture (19,155)",19155,6045,"Agrisil"
"Tree crops (158,260)","Tree crops, boundary tree (3,490)",3490,1387,"Bndry"
"Tree crops (158,260)","Tree crops, monoculture (135,610)",135612,18931,"Trad"
