"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (61,174)","Coffee (5,206)",1670,1670,"Shrub"
"Tropical rainforest (106,560)","Coffee (5,206)",3536,3116,"Shrub"
"Coffee (5,206)","Coffee, agrisilviculture (3,022)",3022,1949,"Agrisil"
"Coffee (5,206)","Coffee, monoculture (2,184)",2184,2184,"Trad"
"Tropical dry forest (61,174)","Crop support (6,804)",3469,2647,"Crop_support"
"Tropical rainforest (106,560)","Crop support (6,804)",251,251,"Crop_support"
"Tropical mountain system (64,788)","Crop support (6,804)",1285,908,"Crop_support"
"Tropical moist deciduous forest (264,230)","Crop support (6,804)",1799,1190,"Crop_support"
"Crop support (6,804)","Crop support, monoculture (6,803)",6803,3043,"Trad"
"Tropical dry forest (61,174)","Herbaceous crops (253,920)",26269,8186,"Herb"
"Tropical rainforest (106,560)","Herbaceous crops (253,920)",38012,9148,"Herb"
"Tropical mountain system (64,788)","Herbaceous crops (253,920)",29207,8941,"Herb"
"Tropical moist deciduous forest (264,230)","Herbaceous crops (253,920)",160427,86466,"Herb"
"Herbaceous crops (253,920)","Herbaceous crops, agrisilviculture (33,442)",33442,7800,"Agrisil"
"Herbaceous crops (253,920)","Herbaceous crops, boundary tree (1,413)",1413,1097,"Bndry"
"Herbaceous crops (253,920)","Herbaceous crops, monoculture (219,060)",219059,87225,"Trad"
"Tropical mountain system (64,788)","Pulpwood (89,759)",13227,5870,"Tree"
"Tropical moist deciduous forest (264,230)","Pulpwood (89,759)",27285,8630,"Tree"
"Tropical dry forest (61,174)","Pulpwood (89,759)",16383,6666,"Tree"
"Tropical rainforest (106,560)","Pulpwood (89,759)",32864,8614,"Tree"
"Pulpwood (89,759)","Pulpwood, monoculture (89,758)",89758,14812,"Trad"
"Tropical dry forest (61,174)","Rice (1,413)",257,257,"Herb"
"Tropical moist deciduous forest (264,230)","Rice (1,413)",1156,1156,"Herb"
"Rice (1,413)","Rice, monoculture (1,413)",1413,1184,"Trad"
"Tropical mountain system (64,788)","Rubber (102,710)",19142,7282,"Tree"
"Tropical moist deciduous forest (264,230)","Rubber (102,710)",56012,11829,"Tree"
"Tropical dry forest (61,174)","Rubber (102,710)",5446,3408,"Tree"
"Tropical rainforest (106,560)","Rubber (102,710)",22108,7279,"Tree"
"Rubber (102,710)","Rubber, monoculture (102,710)",102707,15716,"Trad"
"Tropical dry forest (61,174)","Shrub crops (4,344)",128,128,"Shrub"
"Tropical moist deciduous forest (264,230)","Shrub crops (4,344)",2742,2219,"Shrub"
"Tropical rainforest (106,560)","Shrub crops (4,344)",1474,890,"Shrub"
"Shrub crops (4,344)","Shrub crop, agrisilviculture (2,826)",2826,2231,"Agrisil"
"Shrub crops (4,344)","Shrub crop, boundary tree (385)",385,385,"Bndry"
"Shrub crops (4,344)","Shrub crop, monoculture (1,134)",1134,775,"Trad"
"Tropical rainforest (106,560)","Tea (101)",101,101,"Shrub"
"Tea (101)","Tea, monoculture (101)",101,101,"Trad"
"Tropical dry forest (61,174)","Tree crops (32,499)",7552,4014,"Tree"
"Tropical moist deciduous forest (264,230)","Tree crops (32,499)",14807,5605,"Tree"
"Tropical mountain system (64,788)","Tree crops (32,499)",1927,1290,"Tree"
"Tropical rainforest (106,560)","Tree crops (32,499)",8213,3755,"Tree"
"Tree crops (32,499)","Tree crops, agrisilviculture (13,081)",13081,5002,"Agrisil"
"Tree crops (32,499)","Tree crops, boundary tree (642)",642,463,"Bndry"
"Tree crops (32,499)","Tree crops, monoculture (18,776)",18776,6147,"Trad"
