"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (556,500)","Banana (295)",295,295,"Palm"
"Banana (295)","Banana, agrisilviculture (295)",295,295,"Agrisil"
"Tropical dry forest (556,500)","Coffee (14,323)",10194,5107,"Shrub"
"Tropical moist deciduous forest (194,600)","Coffee (14,323)",4129,2625,"Shrub"
"Coffee (14,323)","Coffee, agrisilviculture (14,323)",14323,5742,"Agrisil"
"Tropical dry forest (556,500)","Crop support (21,127)",13357,5238,"Crop_support"
"Tropical rainforest (44,986)","Crop support (21,127)",3171,1862,"Crop_support"
"Tropical moist deciduous forest (194,600)","Crop support (21,127)",4599,2008,"Crop_support"
"Crop support (21,127)","Crop support, agrisilviculture (15,927)",15927,4972,"Agrisil"
"Crop support (21,127)","Crop support, boundary tree (2,718)",2718,2718,"Bndry"
"Crop support (21,127)","Crop support, monoculture (2,481)",2481,1644,"Trad"
"Tropical dry forest (556,500)","Fruit & nut (39,622)",22650,6483,"Tree"
"Tropical rainforest (44,986)","Fruit & nut (39,622)",3034,2195,"Tree"
"Tropical moist deciduous forest (194,600)","Fruit & nut (39,622)",13938,5451,"Tree"
"Fruit & nut (39,622)","Fruit & nut, agrisilviculture (37,263)",37263,8541,"Agrisil"
"Fruit & nut (39,622)","Fruit & nut, monoculture (2,360)",2360,1667,"Trad"
"Tropical dry forest (556,500)","Herbaceous crops (425,450)",332521,49468,"Herb"
"Tropical rainforest (44,986)","Herbaceous crops (425,450)",18353,6491,"Herb"
"Tropical moist deciduous forest (194,600)","Herbaceous crops (425,450)",74580,11957,"Herb"
"Herbaceous crops (425,450)","Herbaceous crops, agrisilviculture (330,400)",330397,26265,"Agrisil"
"Herbaceous crops (425,450)","Herbaceous crops, boundary tree (26,608)",26608,21537,"Bndry"
"Herbaceous crops (425,450)","Herbaceous crops, monoculture (68,449)",68449,22039,"Trad"
"Oil palm (5,660)","Oil palm, agrisilviculture (5,660)",5660,3371,"Agrisil"
"Tropical rainforest (44,986)","Oil palm (5,660)",5660,3371,"Palm"
"Tropical dry forest (556,500)","Pulpwood (12,268)",5731,3072,"Tree"
"Tropical moist deciduous forest (194,600)","Pulpwood (12,268)",5178,3074,"Tree"
"Tropical rainforest (44,986)","Pulpwood (12,268)",1359,1359,"Tree"
"Pulpwood (12,268)","Pulpwood, monoculture (12,268)",12268,4541,"Trad"
"Tropical dry forest (556,500)","Rice (8,035)",6489,3507,"Herb"
"Tropical rainforest (44,986)","Rice (8,035)",113,113,"Herb"
"Tropical moist deciduous forest (194,600)","Rice (8,035)",1433,1433,"Herb"
"Rice (8,035)","Rice, monoculture (8,035)",8035,3785,"Trad"
"Tropical rainforest (44,986)","Rubber (142,440)",3058,2172,"Tree"
"Tropical dry forest (556,500)","Rubber (142,440)",67344,12467,"Tree"
"Tropical moist deciduous forest (194,600)","Rubber (142,440)",72033,12201,"Tree"
"Rubber (142,440)","Rubber, agrisilviculture (337)",337,337,"Agrisil"
"Rubber (142,440)","Rubber, monoculture (142,100)",142098,17177,"Trad"
"Tropical dry forest (556,500)","Shrub crops (15,625)",6911,2968,"Shrub"
"Tropical rainforest (44,986)","Shrub crops (15,625)",2083,1619,"Shrub"
"Tropical moist deciduous forest (194,600)","Shrub crops (15,625)",6631,3518,"Shrub"
"Shrub crops (15,625)","Shrub crop, agrisilviculture (5,286)",5286,2252,"Agrisil"
"Shrub crops (15,625)","Shrub crop, boundary tree (9,692)",9692,4302,"Bndry"
"Shrub crops (15,625)","Shrub crop, monoculture (648)",648,415,"Trad"
"Tropical dry forest (556,500)","Tea (11,541)",8233,4081,"Shrub"
"Tropical moist deciduous forest (194,600)","Tea (11,541)",3308,2782,"Shrub"
"Tea (11,541)","Tea, agrisilviculture (590)",590,590,"Agrisil"
"Tea (11,541)","Tea, monoculture (10,951)",10951,4897,"Trad"
"Tropical moist deciduous forest (194,600)","Tree crops (99,708)",8773,3899,"Tree"
"Tropical dry forest (556,500)","Tree crops (99,708)",82780,40227,"Tree"
"Tropical rainforest (44,986)","Tree crops (99,708)",8155,4693,"Tree"
"Tree crops (99,708)","Tree crops, agrisilviculture (63,124)",63124,37181,"Agrisil"
"Tree crops (99,708)","Tree crops, boundary tree (16,152)",16152,15262,"Bndry"
"Tree crops (99,708)","Tree crops, monoculture (20,431)",20431,6697,"Trad"
