X,Y,ID,Dynamics,Notes
102.813375,22.126625,162,Nonforest,
106.781875,11.004625,164,Nonforest,
106.499375,22.277625,211,Nonforest,
105.542625,18.459375,219,Nonforest,
105.758375,22.327125,220,Nonforest,
107.368875,16.165375,230,Nonforest,
104.901625,19.753125,244,Nonforest,
105.949625,17.607375,262,Nonforest,
102.501875,22.551375,281,Nonforest,
106.454875,9.870125,290,Nonforest,
109.185375,11.672125,294,Nonforest,
104.661375,19.279625,316,Nonforest,
107.124875,12.223625,317,Nonforest,
108.176875,15.572125,331,Nonforest,
107.709125,14.870125,337,Nonforest,
104.808625,19.215125,351,Nonforest,
106.419625,17.986125,361,Nonforest,
104.362125,21.049375,378,Nonforest,
106.114375,11.140375,380,Nonforest,
104.869875,21.554125,382,Nonforest,
109.026375,11.702625,389,Nonforest,
107.795875,11.180625,400,Nonforest,
104.078125,21.999625,402,Nonforest,
107.725125,13.534125,408,Nonforest,
107.969375,15.076625,425,Nonforest,
105.708125,22.771875,436,Nonforest,
106.051125,11.597875,439,Nonforest,
105.768375,20.083875,462,Nonforest,
109.089625,12.110875,469,Nonforest,
105.607875,20.953625,474,Nonforest,
104.102625,22.726625,478,Nonforest,
103.750375,22.630375,491,Nonforest,
104.771625,19.329625,510,Nonforest,
108.736375,13.982875,531,Nonforest,
105.421125,10.206875,545,Nonforest,
104.044625,21.572625,548,Nonforest,
104.326375,22.325875,557,Nonforest,
105.943375,20.051875,561,Nonforest,
107.826375,14.856375,574,Nonforest,
108.488375,14.124375,577,Nonforest,
104.887625,20.573875,579,Nonforest,
105.284125,10.184125,583,Nonforest,
107.513375,12.242875,588,Nonforest,
105.595125,20.027125,592,Nonforest,
105.056875,20.570875,608,Nonforest,
106.680125,10.051125,642,Nonforest,
106.501375,9.706125,643,Nonforest,
105.565625,9.387375,648,Nonforest,
106.454125,22.613125,651,Nonforest,
102.917125,21.821875,666,Nonforest,
103.714375,21.346875,724,Nonforest,
106.323125,17.881375,726,Nonforest,
102.631375,22.409125,727,Nonforest,
107.724625,12.866875,733,Nonforest,
105.516625,20.361125,735,Nonforest,
103.113375,21.529875,747,Nonforest,
106.175375,17.860625,750,Nonforest,
105.504875,22.363875,768,Nonforest,
108.844625,13.517875,780,Nonforest,
108.376875,13.653875,802,Nonforest,
106.093375,20.484875,806,Nonforest,
107.401625,15.527125,810,Nonforest,
105.271375,19.759875,815,Nonforest,
106.369875,10.564875,817,Nonforest,
106.082875,22.200875,818,Nonforest,
102.730875,22.295875,832,Nonforest,
104.772375,10.463875,837,Nonforest,
107.327625,16.716375,867,Nonforest,
108.744125,15.100125,868,Nonforest,
107.834375,12.977875,893,Nonforest,
104.916125,9.455625,895,Nonforest,
105.141375,10.459375,909,Nonforest,
106.910125,10.855125,914,Nonforest,
109.176125,11.626125,919,Nonforest,
108.796625,14.068125,928,Nonforest,
109.261125,12.965625,930,Nonforest,
109.114875,12.766625,935,Nonforest,
105.182375,9.801625,939,Nonforest,
105.411375,23.232875,959,Nonforest,
106.191125,9.940875,961,Nonforest,
108.809875,13.360375,986,Nonforest,
105.100375,10.351375,989,Nonforest,
107.587625,12.497875,1005,Nonforest,
105.967375,21.155125,1029,Nonforest,
106.204625,22.074625,1036,Nonforest,
103.394875,21.368625,1040,Nonforest,
106.238375,17.619125,1045,Nonforest,
106.340125,21.969875,1050,Nonforest,
107.507125,12.919875,1071,Nonforest,
105.522375,19.919625,1085,Nonforest,
107.083375,21.250625,1105,Nonforest,
106.092875,22.456375,1108,Nonforest,
104.180375,19.580125,1109,Nonforest,
108.130875,15.873875,1112,Nonforest,
106.503125,21.543625,1123,Nonforest,
105.253125,19.852625,1128,Nonforest,
105.362125,20.796375,1129,Nonforest,
103.475875,22.602875,1143,Nonforest,
103.598375,21.089125,1153,Nonforest,
106.401875,11.636375,1178,Nonforest,
108.424625,11.987125,1200,Nonforest,
105.592125,18.611125,1220,Nonforest,
106.069125,10.789875,1230,Nonforest,
107.378625,16.222625,1233,Nonforest,
105.881125,22.570875,1244,Nonforest,
104.720875,22.681375,1258,Nonforest,Bad_data
105.125875,20.741625,1261,Nonforest,
107.934875,15.943125,1271,Nonforest,
108.941875,11.585125,1273,Nonforest,
108.011125,11.929375,1290,Nonforest,
106.230625,10.969375,1298,Nonforest,
106.265125,20.242375,1300,Nonforest,
108.529625,12.030875,1302,Nonforest,
105.860875,20.263875,1317,Nonforest,
106.066375,17.793625,1321,Nonforest,
106.741875,16.778875,1323,Nonforest,
105.781375,10.475625,1338,Nonforest,
108.221875,11.346875,1348,Nonforest,
108.143125,12.471125,1362,Nonforest,
108.350125,13.968125,1367,Nonforest,
106.088125,22.553375,1395,Nonforest,
107.732875,13.162375,1417,Nonforest,
105.753125,9.537125,1443,Nonforest,
103.562375,21.807125,1452,Nonforest,
106.161375,20.275875,1460,Nonforest,
105.484125,18.983875,1483,Nonforest,
105.969375,9.590875,1489,Nonforest,
108.860625,13.948625,1528,Nonforest,
106.378875,20.508875,1537,Nonforest,
105.867625,9.613375,1540,Nonforest,
108.462875,14.736875,1551,Nonforest,
106.188375,17.454125,1557,Nonforest,
