X,Y,ID,Dynamics,Notes
104.359875,14.011875,"2259",Tree_cover_loss,
105.926375,13.191625,"2263",,
104.938625,13.415125,"2279",,
103.091375,13.128375,"2296",,
107.289375,13.722125,"2320",Tree_cover_gain,
105.942875,13.875875,"2336",,
102.637375,13.287625,"2354",,
103.793625,10.964875,"2355",,
103.159625,11.546625,"2359",,
106.270625,12.691875,"2378",,
106.211875,13.857875,"2397",,
104.986625,10.664375,"2415",,
103.552375,13.409875,"2423",,
103.550125,11.770625,"2424",,
105.319875,12.088625,"2436",,
103.560875,12.713125,"2454",,
104.057375,13.467375,"2460",,
103.970875,14.333625,"2471",,
102.630875,13.265125,"2474",Tree_cover_loss,
105.750125,11.596375,"2475",,
105.710375,11.120375,"2480",,
106.344875,13.989625,"2494",,
107.212875,13.021625,"2508",,
103.737375,13.299375,"2510",Tree_cover_loss,
103.699125,13.520125,"2520",,
104.273375,13.100375,"2541",,
107.446875,13.094625,"2545",,
106.294375,12.052375,"2558",Tree_cover_loss,
106.542125,14.457625,"2559",,
105.373375,11.277375,"2561",,
104.595125,11.378375,"2567",,
106.069375,13.204125,"2574",,
104.408625,12.724625,"2584",,
103.640125,13.042625,"2586",Tree_cover_loss,
103.792125,12.046375,"2588",,
104.739875,11.775125,"2615",,
102.875875,12.240125,"2645",,
105.682875,13.109375,"2652",,
105.185125,11.245875,"2660",,
102.848875,12.626375,"2671",Tree_cover_rotation_partial,
104.410375,12.162625,"2675",,
104.596875,12.753625,"2688",Tree_cover_loss,
104.414125,12.121875,"2693",,
104.964625,10.687625,"2699",,
104.635625,14.050375,"2703",,
105.722625,13.922125,"2708",,
104.704375,13.346375,"2729",,
105.503375,11.806125,"2732",,
103.165375,13.282375,"2742",,
104.978625,14.125125,"2781",,
106.918625,13.836875,"2789",,
105.749125,13.689625,"2791",,
106.335625,12.997375,"2793",Tree_cover_loss,
103.705625,13.097375,"2817",,
106.769875,13.685625,"2821",Tree_cover_loss,
103.680625,12.652375,"2827",,
103.710375,11.714625,"2838",,
103.392625,12.209625,"2839",,
104.118875,11.654125,"2845",,
105.983875,12.155125,"2855",,
106.609875,13.666125,"2859",,
107.482375,13.763125,"2905",Tree_cover_rotation,
104.115375,10.880375,"2936",Tree_cover_loss,
105.022875,12.065375,"2962",Tree_cover_rotation,
105.269125,11.422375,"2995",,
