X,Y,id
"117.320633708179","-9.0068668902947","6369"
"117.468491025441","-8.93494723842429","2738"
"117.642682131675","-8.92962239665621","4008"
"117.476697920073","-8.91853942245632","9090"
"117.973225756264","-8.89997901711791","3132"
"117.077492172426","-8.87642169970161","1055"
"117.854784906099","-8.81683988655146","6378"
"116.418401361534","-8.81400814985619","6567"
"116.775227119836","-8.72474167378914","7711"
"115.557037871601","-8.68821531678338","9513"
"115.085275135139","-8.51685268270512","652"
"117.513767732895","-8.48135031176741","7866"
"117.080457915301","-8.47451420336773","3554"
"117.509830172724","-8.44666007180484","4048"
"116.556769470535","-8.28291429076188","9006"
"112.448843397405","-8.23407028571506","6993"
"111.577258762582","-8.21303336150038","181"
"117.938505808996","-8.21287557904469","1947"
"112.680733373846","-8.21089573684873","238"
"111.286038098779","-8.20890770092961","4991"
"113.529987480738","-8.15689145517649","2823"
"111.844281516479","-8.14652114423535","7361"
"115.147815685446","-8.14608597308916","1161"
"113.203261465644","-8.11951020982826","680"
"110.825098168046","-8.09816750442673","3875"
"114.326617593527","-8.07332113296388","5969"
"114.410394514295","-8.07244408712489","4500"
"111.611782409431","-8.06969651618124","2600"
"111.979021414107","-8.03485277093858","6752"
"114.268728335045","-8.03352575201183","4764"
"110.368125253877","-8.0230590220562","1935"
"111.026313288428","-7.97998812585126","4631"
"112.019174189238","-7.96292360603957","5595"
"113.99542499207","-7.94667840908124","6229"
"112.889293324827","-7.9450070388437","3293"
"113.221436445835","-7.92870168353579","399"
"114.260829282845","-7.9203119711205","241"
"110.598397628748","-7.87205177716771","7804"
"111.565829171679","-7.85777754879479","4362"
"111.846158483427","-7.83381082041296","7984"
"112.159141927758","-7.81224747893793","6779"
"113.598369870573","-7.78791448996168","9878"
"113.735317088513","-7.77669024845613","7347"
"112.18354648838","-7.76492712598605","7982"
"113.183201867073","-7.75691631773384","1838"
"112.213458668982","-7.74920266257277","7814"
"110.856963169814","-7.73945804954928","597"
"110.341408113594","-7.72583365779701","7388"
"114.262418962265","-7.72513537020114","6148"
"110.052198922942","-7.70221871991794","5349"
"112.751236151927","-7.70033636063448","392"
"110.345361423591","-7.67548424700033","7718"
"110.672445229464","-7.67002409593522","4783"
"111.627198319947","-7.669596654462","161"
"110.25782931617","-7.65891717458788","2252"
"108.05116280452","-7.65305303996576","911"
"107.89675089274","-7.64112957736808","9327"
"110.310883103473","-7.64096020265117","5664"
"108.875486871522","-7.64064363499568","4897"
"111.048106554174","-7.63978337500271","1510"
"111.807486215417","-7.60497957404806","487"
"109.934195172969","-7.57544706562953","7830"
"108.322731735681","-7.52334653631357","5270"
"110.798776912924","-7.52128982636435","758"
"109.275658241035","-7.5168733547215","7837"
"112.082991414422","-7.51444981400766","571"
"109.853351519657","-7.49216116390653","6931"
"110.718415199102","-7.47214326599885","7709"
"107.840414222938","-7.46210490112026","4174"
"110.295352151681","-7.44778618508434","8138"
"108.960339787052","-7.43480831864895","6849"
"112.529061744904","-7.40330681385831","8533"
"110.997596157537","-7.38068668624152","8108"
"106.535956691748","-7.37491626817121","4740"
"110.651580258322","-7.37110456812127","576"
"110.646605602667","-7.37060652357218","3509"
"108.412743586947","-7.32730209051903","3658"
"107.263336079696","-7.32659830087084","8511"
"109.023237262989","-7.30335354373102","76"
"107.967994721179","-7.29810037972868","5525"
"109.748334732762","-7.28927397811157","7323"
"110.201585989702","-7.27918143897216","5416"
"110.521213651389","-7.27894745785886","5513"
