"","Area_ha","SE_Area_ha"
"All_herbaceous_crops",3015112,180156
"All_palm_crops",2627162,463885
"All_Shrub_Crops",505937,97921
"All_tree_crops",2865797,165443
"Crop_support",340132,59487
"None",403080777,640419
