"","Area_ha","SE_Area_ha"
"All_herbaceous_crops",433490,50717
"All_palm_crops",5955,3384
"All_Shrub_Crops",41490,8923
"All_tree_crops",294033,44851
"Crop_support",21127,5869
"None",17331264,131009
